Sample_name	Cell_line
ENCFF918UFN	CD14-positive monocyte
ENCFF921EJM	Bipolar neuron
ENCFF921LMY	Foreskin keratinocyte
ENCFF922OIA	Neutrophil
ENCFF925KOJ	Mammary epithelial cell
ENCFF931ZDN	Body of pancreas
ENCFF932SLP	Middle frontal area 46
ENCFF935XGO	HEK293
ENCFF939WHD	Neutrophil
ENCFF941PHH	Mesodermal cell
ENCFF942OVV	Osteoblast
ENCFF943QBM	Mammary epithelial cell
ENCFF944RTB	HepG2
ENCFF947FYY	Loucy
ENCFF956HDZ	Chorionic villus
ENCFF956SUM	Heart left ventricle
ENCFF956ZVG	HepG2
ENCFF958DCL	PC-3
ENCFF962DQE	CD4-positive, alpha-beta T cell
ENCFF966WMA	HepG2
ENCFF968LLI	Naive thymus-derived CD4-positive, alpha-beta T cell
ENCFF972DXH	Foreskin melanocyte
ENCFF976LHI	Peripheral blood mononuclear cell
ENCFF981SRD	HFF-Myc
ENCFF981UIZ	Neural stem progenitor cell
ENCFF982QSW	HeLa-S3
ENCFF989SFT	CD4-positive, alpha-beta T cell
ENCFF996QBJ	Common myeloid progenitor, CD34-positive
ENCFF999IVT	CD4-positive, alpha-beta memory T cell
ENCFF001XFH	Endothelial cell of umbilical vein
ENCFF010JAC	Radial glial cell
ENCFF016KKP	Right atrium auricular region
ENCFF022EDA	DND-41
ENCFF026HRU	Fibroblast of villous mesenchyme
ENCFF029QOJ	Astrocyte of the spinal cord
ENCFF032KRP	HUES6
ENCFF033BYD	Adrenal gland
ENCFF037ATP	DOHH2
ENCFF038ZYP	Fibroblast of dermis NONE and
ENCFF040BNA	IPS-20b
ENCFF042DHH	Brain microvascular endothelial cell
ENCFF050UTV	Layer of hippocampus
ENCFF055BVC	Fibroblast of lung
ENCFF056INK	OCI-LY7
ENCFF065FWT	Layer of hippocampus
ENCFF067DZR	Fibroblast of pulmonary artery
ENCFF068AWU	Fibroblast of lung
ENCFF083UJO	CD8-positive, alpha-beta T cell
ENCFF088WTS	Skeletal muscle cell
ENCFF089KJV	Kidney epithelial cell
ENCFF108IAT	Thoracic aorta
ENCFF108YKY	Fibroblast of the aortic adventitia
ENCFF112ZCC	Kidney
ENCFF118MCM	Fibroblast of lung
ENCFF121FKZ	Endothelial cell of umbilical vein
ENCFF126KBC	Esophagus
ENCFF133NAG	Duodenal mucosa
ENCFF142ESC	Stomach
ENCFF152SAO	AG09319
ENCFF152VED	Muscle layer of colon
ENCFF155XOC	Skeletal muscle tissue
ENCFF156AJN	Endothelial cell of umbilical vein
ENCFF156HIT	Endodermal cell
ENCFF158TSO	Gastrocnemius medialis
ENCFF159NUN	AG04450
ENCFF161FZR	Spinal cord
ENCFF162DOY	Esophagus
ENCFF162EWD	Coronary artery
ENCFF168LOF	HUES64
ENCFF169TBE	Lung embryo 
ENCFF178VJL	Lung
ENCFF185XJY	SU-DHL-6
ENCFF186TTX	SU-DHL-6
ENCFF187ZBU	Mucosa of rectum
ENCFF198KGI	Muscle layer of duodenum
ENCFF221ARA	Middle frontal area 46
ENCFF222RPW	CD4-positive, alpha-beta memory T cell
ENCFF225CLI	Lung
ENCFF230KKY	Fibroblast of pulmonary artery
ENCFF234FSK	Muscle layer of colon
ENCFF234SRA	DND-41
ENCFF235TWY	Epithelial cell of proximal tubule
ENCFF237XAR	Astrocyte of the cerebellum
ENCFF239QIH	Esophagus squamous epithelium
ENCFF242WBE	Heart left ventricle
ENCFF247YHM	GM12878
ENCFF252WLN	Mucosa of rectum
ENCFF253HJT	Foreskin fibroblast
ENCFF253TVS	GM12878
ENCFF261DPT	Karpas-422
ENCFF266KKC	IPS-18a
ENCFF274OMV	Right cardiac atrium
ENCFF277GEX	Kidney
ENCFF277JFM	Duodenal mucosa
ENCFF279OIN	A673
ENCFF280STO	Heart right ventricle
ENCFF285GLL	HUES6
ENCFF285TUM	Adrenal gland
ENCFF292BIA	CD8-positive, alpha-beta T cell
ENCFF293GWY	Thoracic aorta
ENCFF295AUX	Angular gyrus
ENCFF298RSR	T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin
ENCFF301VXY	Esophagus squamous epithelium
ENCFF303IWT	Vagina
ENCFF308EAA	Subcutaneous abdominal adipose tissue nuclear fraction
ENCFF310CNI	Subcutaneous abdominal adipose tissue nuclear fraction
ENCFF312FTI	Fibroblast of villous mesenchyme
ENCFF312QCH	Heart left ventricle
ENCFF316XCH	Caudate nucleus
ENCFF317HVI	Prostate gland
ENCFF321YIO	Right lobe of liver
ENCFF326VMV	Smooth muscle cell
ENCFF340VLR	Esophagus
ENCFF344VDE	Choroid plexus epithelial cell
ENCFF345SEP	Tibial nerve
ENCFF348AZR	Rectal smooth muscle tissue
ENCFF352WYQ	Foreskin fibroblast
ENCFF361UOE	Neural progenitor cell
ENCFF362QPH	Ascending aorta
ENCFF368HIN	Mesenchymal stem cell
ENCFF371HJN	Epithelial cell of proximal tubule
ENCFF373MOC	Gastrocnemius medialis
ENCFF374XBT	Karpas-422
ENCFF376YZE	A673
ENCFF378FKN	Muscle of leg
ENCFF381HOY	HUES48
ENCFF384YSJ	Endothelial cell of umbilical vein
ENCFF387CHH	Cardiac fibroblast
ENCFF387KUH	Cardiac muscle cell
ENCFF390TTN	Lung
ENCFF391RKI	Foreskin fibroblast
ENCFF391XHL	Endothelial cell of umbilical vein
ENCFF395UUE	Transverse colon
ENCFF403FBM	Skeletal muscle tissue
ENCFF411QTB	Muscle of leg
ENCFF413CVJ	Epithelial cell of esophagus
ENCFF423DVG	IMR-90
ENCFF423PKK	Kidney
ENCFF431YIS	Right lobe of liver
ENCFF438YFC	IPS-15b
ENCFF444NQJ	Kidney epithelial cell
ENCFF461IZF	Psoas muscle
ENCFF461NRF	Gastrocnemius medialis
ENCFF473EQN	Kidney
ENCFF484QMJ	Fibroblast of the aortic adventitia
ENCFF490LKC	Substantia nigra
ENCFF492RSZ	Subcutaneous abdominal adipose tissue nuclear fraction
ENCFF493LHK	AG09319
ENCFF501DAS	Gastroesophageal sphincter
ENCFF501WIO	Esophagus muscularis mucosa
ENCFF506ZEZ	DND-41
ENCFF507SDF	Germinal matrix
ENCFF507YFR	Neural progenitor cell
ENCFF510MYN	Epithelial cell of esophagus
ENCFF519ULT	Gastroesophageal sphincter
ENCFF520ZVX	Adipocyte
ENCFF523SOF	B cell
ENCFF525JZK	Fibroblast of breast
ENCFF536YNG	Ovary
ENCFF542KJR	Small intestine
ENCFF544WDT	Cardiac muscle cell
ENCFF545SKL	Cardiac myoblast
ENCFF549RLU	HUES64
ENCFF550BWQ	Subcutaneous abdominal adipose tissue nuclear fraction
ENCFF550UCU	Foreskin melanocyte
ENCFF551FWK	Brain microvascular endothelial cell
ENCFF553MJZ	Skeletal muscle tissue
ENCFF557TXZ	Heart right ventricle
ENCFF567MQV	Foreskin fibroblast
ENCFF567RIA	Germinal matrix
ENCFF575EYM	Vagina
ENCFF575KGR	Mesodermal cell
ENCFF580ZUX	Mucosa of rectum
ENCFF581LYI	Colonic mucosa
ENCFF581THS	AG10803
ENCFF582CYX	ACC112
ENCFF586OXY	Endothelial cell of umbilical vein
ENCFF599MLG	Urinary bladder
ENCFF603EVU	Foreskin fibroblast
ENCFF604MEV	Stomach smooth muscle
ENCFF605CYH	Esophagus muscularis mucosa
ENCFF606MHR	Peyer's patch
ENCFF608MTP	Gastrocnemius medialis
ENCFF611DJB	Stomach
ENCFF613QBK	GM23338
ENCFF616WQI	IPS-18c
ENCFF622GFZ	Foreskin fibroblast
ENCFF638MHE	Peyer's patch
ENCFF650OWJ	Mesenchymal stem cell
ENCFF651CZY	Ascending aorta
ENCFF656LPL	GM12875
ENCFF659ENO	Stomach smooth muscle
ENCFF663KGP	Breast epithelium
ENCFF664XFO	Astrocyte
ENCFF665XPM	Spleen
ENCFF667VSW	Endothelial cell of umbilical vein
ENCFF678TWP	Cardiac muscle cell
ENCFF678XBX	Thoracic aorta
ENCFF687HQC	Radial glial cell
ENCFF688ZFU	OCI-LY7
ENCFF689CLZ	Skeletal muscle tissue
ENCFF689SHD	GM23338
ENCFF719ENH	Astrocyte of the spinal cord
ENCFF720PJW	Small intestine
ENCFF725DVR	H1
ENCFF727WDX	Mesenchymal stem cell
ENCFF728PTZ	Astrocyte
ENCFF729REO	H9
ENCFF737DUO	Stomach smooth muscle
ENCFF741ANU	Substantia nigra
ENCFF744CHB	Breast epithelium
ENCFF749PHH	Mid-neurogenesis radial glial cells
ENCFF750UGF	Gastrocnemius medialis
ENCFF751KLA	Colonic mucosa
ENCFF754ECD	Parathyroid adenoma
ENCFF760SJJ	Mucosa of rectum
ENCFF761DBE	B cell
ENCFF761EYM	Ovary
